areaCode,areaName,areaType,date,newLFDTests
E06000042,Milton Keynes,utla,2020-12-27,134
E06000042,Milton Keynes,utla,2020-12-26,21
E06000042,Milton Keynes,utla,2020-12-25,3
E06000042,Milton Keynes,utla,2020-12-24,79
E06000042,Milton Keynes,utla,2020-12-23,366
E06000042,Milton Keynes,utla,2020-12-22,358
E06000042,Milton Keynes,utla,2020-12-21,326
E06000042,Milton Keynes,utla,2020-12-20,180
E06000042,Milton Keynes,utla,2020-12-19,158
E06000042,Milton Keynes,utla,2020-12-18,332
E06000042,Milton Keynes,utla,2020-12-17,352
E06000042,Milton Keynes,utla,2020-12-16,263
E06000042,Milton Keynes,utla,2020-12-15,255
E06000042,Milton Keynes,utla,2020-12-14,185
E06000042,Milton Keynes,utla,2020-12-13,48
E06000042,Milton Keynes,utla,2020-12-12,51
E06000042,Milton Keynes,utla,2020-12-11,151
E06000042,Milton Keynes,utla,2020-12-10,150
E06000042,Milton Keynes,utla,2020-12-09,170
E06000042,Milton Keynes,utla,2020-12-08,157
E06000042,Milton Keynes,utla,2020-12-07,148
E06000042,Milton Keynes,utla,2020-12-06,70
E06000042,Milton Keynes,utla,2020-12-05,76
E06000042,Milton Keynes,utla,2020-12-04,215
E06000042,Milton Keynes,utla,2020-12-03,184
E06000042,Milton Keynes,utla,2020-12-02,166
E06000042,Milton Keynes,utla,2020-12-01,141
E06000042,Milton Keynes,utla,2020-11-30,176
E06000042,Milton Keynes,utla,2020-11-29,24
E06000042,Milton Keynes,utla,2020-11-28,6
E06000042,Milton Keynes,utla,2020-11-27,84
E06000042,Milton Keynes,utla,2020-11-26,85
E06000042,Milton Keynes,utla,2020-11-25,89
E06000042,Milton Keynes,utla,2020-11-24,89
E06000042,Milton Keynes,utla,2020-11-23,78
E06000042,Milton Keynes,utla,2020-11-22,10
E06000042,Milton Keynes,utla,2020-11-21,14
E06000042,Milton Keynes,utla,2020-11-20,78
E06000042,Milton Keynes,utla,2020-11-19,129
E06000042,Milton Keynes,utla,2020-11-18,137
E06000042,Milton Keynes,utla,2020-11-17,141
E06000042,Milton Keynes,utla,2020-11-16,129
E06000042,Milton Keynes,utla,2020-11-15,0
E06000042,Milton Keynes,utla,2020-11-14,0
E06000042,Milton Keynes,utla,2020-11-13,30
E06000042,Milton Keynes,utla,2020-11-12,30
E06000042,Milton Keynes,utla,2020-11-11,48
E06000042,Milton Keynes,utla,2020-11-10,26
E06000042,Milton Keynes,utla,2020-11-09,28
E06000042,Milton Keynes,utla,2020-11-08,0
E06000042,Milton Keynes,utla,2020-11-07,0
E06000042,Milton Keynes,utla,2020-11-06,19
E06000042,Milton Keynes,utla,2020-11-05,36
E06000042,Milton Keynes,utla,2020-11-04,50
E06000042,Milton Keynes,utla,2020-11-03,13
E06000042,Milton Keynes,utla,2020-11-02,7
E06000042,Milton Keynes,utla,2020-11-01,0
E06000042,Milton Keynes,utla,2020-10-31,0
E06000042,Milton Keynes,utla,2020-10-30,0
E06000042,Milton Keynes,utla,2020-10-29,3
